full_date,weekday,time,mood
2020-12-20,Sunday,12:22,sick
2020-12-19,Saturday,23:16,fine I’m fine 
2020-12-18,Friday,21:00,in love
2020-12-18,Friday,18:01,fine I’m fine 
2020-12-17,Thursday,19:47,fine I’m fine 
2020-12-16,Wednesday,19:06,fine I’m fine 
2020-12-15,Tuesday,21:00,fine I’m fine 
2020-12-14,Monday,23:15,fine I’m fine 
2020-12-13,Sunday,18:31,fine I’m fine 
2020-12-12,Saturday,18:13,meh
2020-12-11,Friday,19:53,sick
2020-12-10,Thursday,21:45,fine I’m fine 
2020-12-09,Wednesday,21:45,sick
2020-12-08,Tuesday,15:35,sick
2020-12-07,Monday,21:00,sick
2020-12-06,Sunday,15:21,fine I’m fine 
2020-12-05,Saturday,21:03,fine I’m fine 
2020-12-04,Friday,22:05,fine I’m fine 
2020-12-03,Thursday,21:00,sick
2020-12-02,Wednesday,10:20,sick
2020-12-01,Tuesday,16:43,fine I’m fine 
2020-11-30,Monday,21:01,meh
2020-11-29,Sunday,12:22,agitated
2020-11-28,Saturday,21:53,fine I’m fine 
2020-11-28,Saturday,13:59,fine I’m fine 
2020-11-27,Friday,15:51,meh
2020-11-27,Friday,12:41,fine I’m fine 
2020-11-26,Thursday,16:02,fine I’m fine 
2020-11-25,Wednesday,21:00,meh
2020-11-25,Wednesday,14:21,fine I’m fine 
2020-11-24,Tuesday,11:43,fine I’m fine 
2020-11-23,Monday,22:28,meh
2020-11-22,Sunday,16:51,wannadie
2020-11-22,Sunday,15:51,fine I’m fine 
2020-11-21,Saturday,21:11,fine I’m fine 
2020-11-20,Friday,21:00,fine I’m fine 
2020-11-19,Thursday,10:52,meh
2020-11-18,Wednesday,20:43,meh
2020-11-18,Wednesday,10:51,bad
2020-11-17,Tuesday,22:48,meh
2020-11-16,Monday,21:02,meh
2020-11-15,Sunday,17:38,fine I’m fine 
2020-11-14,Saturday,14:54,fine I’m fine 
2020-11-13,Friday,09:15,fine I’m fine 
2020-11-12,Thursday,17:47,fine I’m fine 
2020-11-12,Thursday,12:46,meh
2020-11-11,Wednesday,19:52,meh
2020-11-10,Tuesday,17:11,meh
2020-11-09,Monday,22:33,fine I’m fine 
2020-11-09,Monday,18:45,meh
2020-11-08,Sunday,17:46,meh
2020-11-07,Saturday,21:30,fine I’m fine 
2020-11-07,Saturday,18:14,meh
2020-11-06,Friday,15:56,fine I’m fine 
2020-11-05,Thursday,16:17,meh
2020-11-04,Wednesday,20:17,fine I’m fine 
2020-11-03,Tuesday,18:08,meh
2020-11-02,Monday,14:41,irritated
2020-11-01,Sunday,15:51,fine I’m fine 
2020-10-31,Saturday,19:35,fine I’m fine 
2020-10-31,Saturday,11:04,calm happy
2020-10-30,Friday,12:36,fine I’m fine 
2020-10-29,Thursday,19:38,fine I’m fine 
2020-10-28,Wednesday,18:54,meh
2020-10-27,Tuesday,17:43,fine I’m fine 
2020-10-26,Monday,10:36,fine I’m fine 
2020-10-25,Sunday,21:00,fine I’m fine 
2020-10-24,Saturday,23:45,fine I’m fine 
